id,gene_id,description,developmental_type
25262,ENSG00000171843,MLLT3,Tchem
25263,ENSG00000263790,MIR4473,NA
25264,ENSG00000222202,RNU4-26P,NA
25265,ENSG00000264941,MIR4474,NA
25266,ENSG00000237088,RP11-73E6.2,NA
25267,ENSG00000188352,FOCAD,Tbio
25268,ENSG00000227071,FOCAD-AS1,NA
25269,ENSG00000207609,MIR491,NA
25270,ENSG00000202189,SNORA30,NA
25271,ENSG00000188921,HACD4,Tbio
25272,ENSG00000230208,IFNNP1,NA
25273,ENSG00000171855,IFNB1,Tbio
25274,ENSG00000225027,IFNWP4,NA
25275,ENSG00000275980,RP11-113D19.9,NA
25276,ENSG00000177047,IFNW1,Tbio
25277,ENSG00000199635,Y_RNA,NA
25278,ENSG00000137080,IFNA21,Tbio
25279,ENSG00000232281,IFNWP15,NA
25280,ENSG00000236637,IFNA4,Tbio
25281,ENSG00000226597,IFNWP9,NA
25282,ENSG00000214042,IFNA7,Tdark
25283,ENSG00000186803,IFNA10,Tbio
25284,ENSG00000223684,IFNWP18,NA
25285,ENSG00000147885,IFNA16,Tdark
25286,ENSG00000234829,IFNA17,Tbio
25287,ENSG00000232138,IFNWP5,NA
25288,ENSG00000228083,IFNA14,Tbio
25289,ENSG00000224416,IFNA22P,NA
25290,ENSG00000147873,IFNA5,Tbio
25291,ENSG00000226393,IFNA20P,NA
25292,ENSG00000198642,KLHL9,Tdark
25293,ENSG00000120235,IFNA6,Tbio
25294,ENSG00000233816,IFNA13,NA
25295,ENSG00000188379,IFNA2,Tbio
25296,ENSG00000261696,RP11-354P17.15,NA
25297,ENSG00000231195,IFNA11P,NA
25298,ENSG00000235108,IFNA12P,NA
25299,ENSG00000120242,IFNA8,Tbio
25300,ENSG00000237691,IFNWP2,NA
25301,ENSG00000197919,IFNA1,Tbio
25302,ENSG00000238271,IFNWP19,NA
25303,ENSG00000171889,MIR31HG,NA
25304,ENSG00000184995,IFNE,Tbio
25305,ENSG00000199177,MIR31,NA
25306,ENSG00000264379,SNORD39,NA
25307,ENSG00000227443,RP11-344A7.1,NA
25308,ENSG00000229835,KHSRPP1,NA
25309,ENSG00000244230,RN7SL151P,NA
25310,ENSG00000099810,MTAP,Tchem
25311,ENSG00000229298,TUBB8P1,NA
25312,ENSG00000265194,RP11-70L8.4,NA
25313,ENSG00000279670,RP11-70L8.5,NA
25314,ENSG00000264801,ERVFRD-3,NA
25315,ENSG00000224854,CDKN2A-AS1,Tdark
25316,ENSG00000147889,CDKN2A,Tbio
25317,ENSG00000240498,CDKN2B-AS1,NA
25318,ENSG00000266446,RP11-149I2.4,NA
25319,ENSG00000147883,CDKN2B,Tbio
25320,ENSG00000215221,UBA52P6,NA
25321,ENSG00000277653,CDKN2B-AS,NA
25322,ENSG00000236921,RP11-408N14.1,NA
25323,ENSG00000176399,DMRTA1,Tbio
25324,ENSG00000234840,LINC01239,NA
25325,ENSG00000284418,RP11-370B11.4,NA
25326,ENSG00000236739,CLIC4P1,NA
25327,ENSG00000224549,RP11-370B11.3,NA
25328,ENSG00000283982,RP11-495L19.1,NA
25329,ENSG00000227607,SUMO2P2,NA
25330,ENSG00000233906,RP11-315I14.2,NA
25331,ENSG00000226626,NOP56P2,NA
25332,ENSG00000107105,ELAVL2,Tbio
25333,ENSG00000231460,RP11-321L2.1,NA
25334,ENSG00000237414,RP11-321L2.2,NA
25335,ENSG00000277608,RP11-321L2.3,NA
25336,ENSG00000205442,IZUMO3,Tdark
25337,ENSG00000269957,RP11-20A20.2,NA
25338,ENSG00000223088,RMRPP5,NA
25339,ENSG00000222693,RN7SKP120,NA
25340,ENSG00000198680,TUSC1,Tbio
25341,ENSG00000236306,LINC01241,NA
25342,ENSG00000270683,FAM71BP1,NA
25343,ENSG00000276759,RP11-80I3.1,NA
25344,ENSG00000279256,RP11-5P15.1,NA
25345,ENSG00000254261,RP11-18A15.1,NA
25346,ENSG00000252580,SNORA31,NA
25347,ENSG00000253400,RP11-337A23.6,NA
25348,ENSG00000120159,CAAP1,Tbio
25349,ENSG00000232466,RP11-337A23.5,NA
25350,ENSG00000240306,RN7SL100P,NA
25351,ENSG00000137055,PLAA,Tchem
25352,ENSG00000234676,IFT74-AS1,NA
25353,ENSG00000096872,IFT74,Tbio
25354,ENSG00000184434,LRRC19,Tbio
25355,ENSG00000254396,RP11-56F10.3,NA
25356,ENSG00000120156,TEK,Tclin
25357,ENSG00000223162,RNA5SP280,NA
25358,ENSG00000232867,RP11-179D22.1,NA
25359,ENSG00000283945,LINC00032,Tdark
25360,ENSG00000120160,EQTN,Tdark
25361,ENSG00000120162,MOB3B,Tbio
25362,ENSG00000237734,RP11-298E2.2,NA
25363,ENSG00000147896,IFNK,Tbio
25364,ENSG00000147894,C9orf72,Tbio
25365,ENSG00000215441,CTAGE12P,NA
25366,ENSG00000260390,RP11-575I8.1,NA
25367,ENSG00000260412,RP11-438B23.2,NA
25368,ENSG00000174482,LINGO2,Tbio
25369,ENSG00000229060,RP11-20P5.2,NA
25370,ENSG00000224955,KCTD10P1,NA
25371,ENSG00000215966,MIR876,NA
25372,ENSG00000215939,MIR873,NA
25373,ENSG00000230276,RP11-373A6.1,NA
25374,ENSG00000277646,RP11-275A14.1,NA
25375,ENSG00000229834,RP11-48L13.1,NA
25376,ENSG00000230097,ME2P1,NA
25377,ENSG00000280683,LINC01242,NA
25378,ENSG00000232060,SLC4A1APP1,NA
25379,ENSG00000239792,C2orf27AP2,NA
25380,ENSG00000215210,RBMXP2,NA
25381,ENSG00000235626,KRT18P66,NA
25382,ENSG00000226246,KRT18P36,NA
25383,ENSG00000233278,RPS26P2,NA
25384,ENSG00000214020,FTLP4,NA
25385,ENSG00000228557,HSPA8P17,NA
25386,ENSG00000223421,RP11-572H4.1,NA
25387,ENSG00000232203,SLC25A6P2,NA
25388,ENSG00000260720,LINC01243,NA
25389,ENSG00000226998,MTATP6P30,NA
25390,ENSG00000229080,MTCO3P30,NA
25391,ENSG00000235148,HMGB3P23,NA
25392,ENSG00000252313,RNA5SP281,NA
25393,ENSG00000225347,SLC25A5P8,NA
25394,ENSG00000122729,ACO1,Tbio
25395,ENSG00000107201,DDX58,Tbio
25396,ENSG00000197579,TOPORS,Tbio
25397,ENSG00000235453,TOPORS-AS1,NA
25398,ENSG00000165264,NDUFB6,Tclin
25399,ENSG00000232303,DFFBP1,NA
25400,ENSG00000241043,GVQW1,Tdark
25401,ENSG00000122728,TAF1L,Tchem
25402,ENSG00000230516,RP11-555J4.3,NA
25403,ENSG00000223440,RP11-555J4.4,NA
25404,ENSG00000238001,SNRPCP1,NA
25405,ENSG00000230867,RP11-462B18.1,NA
25406,ENSG00000188133,TMEM215,Tdark
25407,ENSG00000272113,Y_RNA,NA
25408,ENSG00000236796,RP11-462B18.3,NA
25409,ENSG00000231193,RP11-462B18.2,NA
25410,ENSG00000223807,BOLA3P4,NA
25411,ENSG00000237437,ASS1P12,NA
25412,ENSG00000137074,APTX,Tbio
25413,ENSG00000236184,TCEA1P4,NA
25414,ENSG00000225693,LAGE3P1,NA
25415,ENSG00000086061,DNAJA1,Tchem
25416,ENSG00000122692,SMU1,Tbio
25417,ENSG00000086062,B4GALT1,Tbio
25418,ENSG00000252224,RNU4ATAC15P,NA
25419,ENSG00000233554,B4GALT1-AS1,NA
25420,ENSG00000122711,SPINK4,Tdark
25421,ENSG00000107262,BAG1,Tbio
25422,ENSG00000086065,CHMP5,Tbio
25423,ENSG00000086102,NFX1,Tbio
25424,ENSG00000200544,Y_RNA,NA
25425,ENSG00000165269,AQP7,Tbio
25426,ENSG00000223678,RP11-311H10.4,NA
25427,ENSG00000165272,AQP3,Tchem
25428,ENSG00000270542,RP11-311H10.7,NA
25429,ENSG00000165271,NOL6,Tbio
25430,ENSG00000275651,MIR6851,NA
25431,ENSG00000226823,SUGT1P1,NA
25432,ENSG00000228072,RP11-255A11.2,NA
25433,ENSG00000230453,ANKRD18B,Tdark
25434,ENSG00000225123,RP11-255A11.4,NA
25435,ENSG00000234373,SNX18P7,NA
25436,ENSG00000226562,CYP4F26P,NA
25437,ENSG00000204982,PRSS3P4,NA
25438,ENSG00000205274,TRBV20OR9-2,NA
25439,ENSG00000231991,ANXA2P2,Tdark
25440,ENSG00000183938,TRBV21OR9-2,NA
25441,ENSG00000234122,TRBV22OR9-2,NA
25442,ENSG00000229063,TRBV23OR9-2,NA
25443,ENSG00000215206,TRBV24OR9-2,NA
25444,ENSG00000240215,TRBV25OR9-2,NA
25445,ENSG00000237984,PTENP1,NA
25446,ENSG00000281128,PTENP1-AS,NA
25447,ENSG00000231165,TRBV26OR9-2,NA
25448,ENSG00000260947,RP11-384P7.7,NA
25449,ENSG00000227301,RP11-384P7.5,NA
25450,ENSG00000233776,LINC01251,NA
25451,ENSG00000010438,PRSS3,Tchem
25452,ENSG00000235481,UBE2R2-AS1,NA
25453,ENSG00000223394,TRBV29OR9-2,NA
25454,ENSG00000107341,UBE2R2,Tbio
25455,ENSG00000200834,Y_RNA,NA
25456,ENSG00000251748,RNU4ATAC11P,NA
25457,ENSG00000137073,UBAP2,Tbio
25458,ENSG00000238300,SNORD121B,NA
25459,ENSG00000238886,SNORD121A,NA
25460,ENSG00000226801,OSTCP8,NA
25461,ENSG00000222259,RN7SKP114,NA
25462,ENSG00000228352,RP11-537H15.3,NA
25463,ENSG00000198876,DCAF12,Tbio
25464,ENSG00000224802,TUBB4BP2,NA
25465,ENSG00000239392,RP11-537H15.4,NA
25466,ENSG00000165006,UBAP1,Tbio
25467,ENSG00000227383,RP11-571F15.2,NA
25468,ENSG00000279336,AL353662.1,NA
25469,ENSG00000252164,RNA5SP282,NA
25470,ENSG00000233668,RP11-571F15.3,NA
25471,ENSG00000186638,KIF24,Tbio
25472,ENSG00000222426,RNU2-50P,NA
25473,ENSG00000229207,SERPINH1P1,NA
25474,ENSG00000164978,NUDT2,Tbio
25475,ENSG00000164976,KIAA1161,NA
25476,ENSG00000164972,C9orf24,NA
25477,ENSG00000207032,Y_RNA,NA
25478,ENSG00000164970,FAM219A,Tdark
25479,ENSG00000122735,DNAI1,Tbio
25480,ENSG00000251697,RN7SKP24,NA
25481,ENSG00000168913,ENHO,Tbio
25482,ENSG00000230729,RP11-296L22.8,NA
25483,ENSG00000232983,RP11-296L22.7,NA
25484,ENSG00000122756,CNTFR,Tbio
25485,ENSG00000237159,CNTFR-AS1,NA
25486,ENSG00000164967,RPP25L,Tdark
25487,ENSG00000137100,DCTN3,Tbio
25488,ENSG00000205143,ARID3C,Tdark
25489,ENSG00000147955,SIGMAR1,Tclin
25490,ENSG00000213930,GALT,Tbio
25491,ENSG00000137070,IL11RA,Tclin
25492,ENSG00000213927,CCL27,Tbio
25493,ENSG00000187186,RP11-195F19.5,NA
25494,ENSG00000230074,RP11-195F19.9,NA
25495,ENSG00000172724,CCL19,Tbio
25496,ENSG00000137077,CCL21,Tbio
25497,ENSG00000205108,FAM205A,Tdark
25498,ENSG00000257198,FAM205BP,Tdark
25499,ENSG00000187791,FAM205C,Tdark
25500,ENSG00000178723,GLULP4,NA
25501,ENSG00000215199,YWHAZP6,NA
25502,ENSG00000122733,PHF24,Tdark
25503,ENSG00000281491,DNAJB5-AS1,NA
25504,ENSG00000137094,DNAJB5,Tbio
