id,gene_id,description,developmental_type
1104,ENSG00000163877,SNIP1,Tbio
1107,ENSG00000163879,DNALI1,Tbio
1108,ENSG00000134697,GNL2,Tbio
1109,ENSG00000169218,RSPO1,Tbio
1110,ENSG00000116922,C1orf109,Tdark
1111,ENSG00000134690,CDCA8,Tbio
1112,ENSG00000183317,EPHA10,Tbio
1116,ENSG00000185090,MANEAL,Tdark
1117,ENSG00000196449,YRDC,Tdark
1118,ENSG00000197982,C1orf122,Tdark
1119,ENSG00000188786,MTF1,Tbio
1121,ENSG00000204084,INPP5B,Tbio
1125,ENSG00000183431,SF3A3,Tbio
1127,ENSG00000183386,FHL3,Tbio
1128,ENSG00000183520,UTP11,Tbio
1129,ENSG00000185668,POU3F1,Tbio
1138,ENSG00000116954,RRAGC,Tbio
1140,ENSG00000214114,MYCBP,Tbio
1141,ENSG00000131233,GJA9,Tbio
1142,ENSG00000158315,RHBDL2,Tbio
1146,ENSG00000174574,AKIRIN1,Tbio
1147,ENSG00000168653,NDUFS5,Tclin
1148,ENSG00000127603,MACF1,Tbio
1154,ENSG00000183682,BMP8A,Tbio
1158,ENSG00000090621,PABPC4,Tbio
1161,ENSG00000163909,HEYL,Tbio
1163,ENSG00000116981,NT5C1A,Tbio
1164,ENSG00000116983,HPCAL4,Tdark
1165,ENSG00000084072,PPIE,Tbio
1168,ENSG00000116985,BMP8B,Tbio
1169,ENSG00000198754,OXCT2,Tbio
1172,ENSG00000043514,TRIT1,Tbio
1174,ENSG00000116990,MYCL,Tbio
1177,ENSG00000168389,MFSD2A,Tbio
1179,ENSG00000131236,CAP1,Tbio
1180,ENSG00000131238,PPT1,Tbio
1182,ENSG00000117000,RLF,Tdark
1184,ENSG00000188800,TMCO2,Tdark
1186,ENSG00000084073,ZMPSTE24,Tbio
1188,ENSG00000049089,COL9A2,Tbio
1190,ENSG00000084070,SMAP2,Tbio
1192,ENSG00000187801,ZFP69B,Tdark
1195,ENSG00000187815,ZFP69,Tdark
1197,ENSG00000164002,EXO5,Tbio
1200,ENSG00000117010,ZNF684,Tdark
1203,ENSG00000117016,RIMS3,Tbio
1206,ENSG00000066136,NFYC,Tbio
1209,ENSG00000117013,KCNQ4,Tclin
1211,ENSG00000179862,CITED4,Tbio
1215,ENSG00000171793,CTPS1,Tbio
1217,ENSG00000171790,SLFNL1,Tdark
1218,ENSG00000010803,SCMH1,Tbio
1222,ENSG00000204060,FOXO6,Tbio
1225,ENSG00000127129,EDN2,Tbio
1226,ENSG00000127124,HIVEP3,Tbio
1231,ENSG00000044012,GUCA2B,Tbio
1232,ENSG00000197273,GUCA2A,Tbio
1233,ENSG00000198815,FOXJ3,Tbio
1235,ENSG00000177181,RIMKLA,Tdark
1237,ENSG00000066185,ZMYND12,Tdark
1238,ENSG00000127125,PPCS,Tbio
1239,ENSG00000186409,CCDC30,Tdark
1244,ENSG00000171960,PPIH,Tbio
1246,ENSG00000065978,YBX1,Tbio
1247,ENSG00000164007,CLDN19,Tbio
1248,ENSG00000117385,P3H1,Tbio
1249,ENSG00000164008,C1orf50,Tdark
1251,ENSG00000274386,TMEM269,Tdark
1252,ENSG00000177868,SVBP,Tbio
1253,ENSG00000164010,ERMAP,Tbio
1255,ENSG00000164011,ZNF691,Tdark
1259,ENSG00000117394,SLC2A1,Tchem
1266,ENSG00000186973,FAM183A,Tdark
1267,ENSG00000117395,EBNA1BP2,Tbio
1268,ENSG00000243710,CFAP57,Tdark
1270,ENSG00000179178,TMEM125,Tdark
1271,ENSG00000253313,C1orf210,Tdark
1272,ENSG00000066056,TIE1,Tchem
1273,ENSG00000117400,MPL,Tclin
1275,ENSG00000117399,CDC20,Tbio
1276,ENSG00000066322,ELOVL1,Tbio
1277,ENSG00000159479,MED8,Tbio
1279,ENSG00000198198,SZT2,Tbio
1282,ENSG00000142949,PTPRF,Tchem
1283,ENSG00000066135,KDM4A,Tchem
1285,ENSG00000126091,ST3GAL3,Tbio
1291,ENSG00000117407,ARTN,Tbio
1293,ENSG00000117408,IPO13,Tbio
1294,ENSG00000132768,DPH2,Tbio
1295,ENSG00000117410,ATP6V0B,Tbio
1296,ENSG00000117411,B4GALT2,Tbio
1297,ENSG00000159214,CCDC24,Tdark
1298,ENSG00000196517,SLC6A9,Tchem
1303,ENSG00000171872,KLF17,Tbio
1305,ENSG00000283039,KLF18,Tdark
1311,ENSG00000178028,DMAP1,Tbio
1312,ENSG00000117419,ERI3,Tbio
1315,ENSG00000187147,RNF220,Tbio
1317,ENSG00000126106,TMEM53,Tdark
1321,ENSG00000142945,KIF2C,Tbio
1323,ENSG00000142937,RPS8,Tbio
1327,ENSG00000142959,BEST4,Tbio
1328,ENSG00000173846,PLK3,Tchem
1329,ENSG00000188396,TCTEX1D4,Tbio
1330,ENSG00000222009,BTBD19,Tdark
1331,ENSG00000117425,PTCH2,Tbio
1333,ENSG00000070785,EIF2B3,Tbio
1338,ENSG00000126107,HECTD3,Tdark
1339,ENSG00000126088,UROD,Tbio
1340,ENSG00000162415,ZSWIM5,Tdark
1343,ENSG00000186603,HPDL,Tdark
1344,ENSG00000132781,MUTYH,Tbio
1345,ENSG00000132773,TOE1,Tbio
1346,ENSG00000070759,TESK2,Tchem
1348,ENSG00000280670,CCDC163,Tdark
1349,ENSG00000132763,MMACHC,Tbio
1350,ENSG00000117450,PRDX1,Tchem
1352,ENSG00000117448,AKR1A1,Tchem
1355,ENSG00000132780,NASP,Tbio
1358,ENSG00000159588,CCDC17,Tdark
1359,ENSG00000159592,GPBP1L1,Tdark
1362,ENSG00000159596,TMEM69,Tdark
1363,ENSG00000197429,IPP,Tbio
1366,ENSG00000086015,MAST2,Tbio
1368,ENSG00000117461,PIK3R3,Tbio
1372,ENSG00000117472,TSPAN1,Tbio
1374,ENSG00000085998,POMGNT1,Tbio
1375,ENSG00000171357,LURAP1,Tdark
1376,ENSG00000085999,RAD54L,Tbio
1377,ENSG00000132128,LRRC41,Tbio
1378,ENSG00000173660,UQCRH,Tbio
1379,ENSG00000117481,NSUN4,Tbio
